ape_round,parent_prompt_id,prompt_id,prompt_family,prompt_text,mean_proxy_score,mean_similarity,mean_brevity,mean_target_leak,selection_status
1,,ape_1_3f37953d,resampled,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
1,,ape_1_768a7845,resampled,"""構思一句關於動物的日常生活句子，以提升失語症患者的語言能力。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
1,,ape_1_bb67d899,resampled,"""設計一句與水果和蔬菜相關的自然療癒句子，幫助失語症患者。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
1,,ape_1_cfb1367c,resampled,"""創作一句描述動物與日常用品互動的句子，作為療癒工具。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
2,ape_1_3f37953d,ape_2_6fb46496,resampled,"""構想一句話述動物的日常行為，幫助失語症患者學習動物名稱。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
2,ape_1_3f37953d,ape_2_9662f5d8,resampled,"""創造一句描述動物在戶外活動的自然句子，增加他們對大自然的認識。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
2,ape_1_3f37953d,ape_2_b3bfe09f,resampled,"""描述失語症患者在公園裡與動物互動的情景，促進他們的語言技能。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
2,ape_1_3f37953d,ape_2_ec724f42,resampled,"""讓失語症患者感受一個美好的郊區日落，並分享他們的心情。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
3,ape_2_6fb46496,ape_3_110c1651,resampled,"""想像一下，動物在樹林中嬉戲時的情景，讓他們了解森林生態。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
3,ape_2_6fb46496,ape_3_27839fc5,resampled,"""描述一片蔬菜市場上的繁忙景象，讓失語症患者感受購物的氛圍。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
3,ape_2_6fb46496,ape_3_681c2c17,resampled,"""描述一朵花如何在陽光下開放，讓失語症患者感受到生命的美麗。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
3,ape_2_6fb46496,ape_3_be536b29,resampled,"""構想一個家庭在餐桌上分享水果的過程，增進他們的社交能力。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
3,ape_2_6fb46496,ape_3_db8dd279,resampled,"""想象一個小孩在田間捉蟲子的過程，讓他們感受農村生活的樂趣。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
4,ape_3_110c1651,ape_4_1544e5e1,resampled,"""動物在樹林中玩耍。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
4,ape_3_110c1651,ape_4_1da8870a,resampled,"""市場上的蔬菜擺放有序，色彩鮮豔。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
4,ape_3_110c1651,ape_4_8f76c68d,resampled,"""一朵花在陽光下慢慢開放。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,selected
4,ape_3_110c1651,ape_4_cf80dd5b,resampled,"""蔬菜市場上人聲鼎沸，忙碌著。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
4,ape_3_110c1651,ape_4_fdb80a5d,resampled,"""動物在樹叢中追逐嬉戲。""",0.5076986765288389,0.42212334657804323,0.85,0.14615384615384616,discarded
