ape_round,parent_prompt_id,subcategory,prompt_id,prompt_family,prompt_text,mean_proxy_score,mean_similarity,mean_brevity,mean_target_leak,selection_status
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,0.0844896634419759,0.049270947774251304,0.16666666666666666,0.8333333333333334,selected
1,動作_p03,動作,動作_ape_1_fd3949e3,category_resampled,**描述動作的目的和工具**：,0.5356152540770444,0.3895802330970764,0.8763636363636365,0.12,selected
1,動作_p03,動作,動作_ape_1_0dad864b,category_resampled,**提示句**：早上起床後，開始新的一天，先刷牙，保持口腔清洁。,0.5001050567392792,0.3389255912601948,0.8761904761904762,0.12,selected
1,動作_p03,動作,動作_ape_1_b57f0c6d,category_resampled,**提示句**：起床後，早晨的第一步，先洗漱，再吃早餐。,0.4938990867435932,0.32842726677656175,0.88,0.12,discarded
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,0.48103161366927344,0.32874646108597516,0.8363636363636364,0.16,discarded
1,動作_p03,動作,動作_ape_1_185f0623,category_resampled,**目標詞彙**：刷牙,0.4547596298493445,0.3239423283562064,0.76,0.24,discarded
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,0.4184982470273971,0.2892832100391388,0.72,0.28,discarded
1,動物_p02,動物,動物_ape_1_b50c4129,category_resampled,要點：描述外觀（如毛、耳朵、尾巴）、叫聲（如狗叫、貓咪叫）。,0.5362039375305175,0.337434196472168,1.0,0.0,selected
1,動物_p02,動物,動物_ape_1_7451dc86,category_resampled,**描述動物外觀與叫聲**：,0.5034182327985763,0.3763117611408234,0.8,0.2,selected
1,動物_p02,動物,動物_ape_1_48bf7bbc,category_resampled,**描述動物生活環境與移動方式**：,0.470321681946516,0.3290309742093086,0.8,0.2,discarded
1,動物_p02,動物,動物_ape_1_fee1808e,category_resampled,要點：描述生活環境（如家中、農場、水邊、天空）與移動方式（如跑、跳、游泳）。,0.4528655931353569,0.389807990193367,0.6,0.4,discarded
1,動物_p02,動物,動物_ape_1_303a8cd7,category_resampled,描述範圍：家裡、菜市場、森林、湖泊。,0.40713241338729855,0.2387605905532837,0.8,0.2,discarded
1,動物_p02,動物,動物_ape_1_115c4970,category_resampled,描述範圍：家裡、菜市場、公園。,0.1799939090013504,0.08570558428764344,0.4,0.6,discarded
1,喝_p02,喝,喝_ape_1_1ba2a804,category_resampled,請生成一句提示句，其中包含目標詞彙「橙子」，但不得直接說出「橙子」。,0.0,0.0,0.0,1.0,selected
1,喝_p02,喝,喝_ape_1_cd769abf,category_resampled,請生成一句提示句，其中包含目標詞彙「南瓜」，但不得直接說出「南瓜」。,0.0,0.0,0.0,1.0,selected
1,娛樂場所_p02,娛樂場所,娛樂場所_ape_1_42e5edbc,category_resampled,描述地點的常見景象或功能，避免太抽象的描述。,0.3533069521188736,0.2904385030269623,0.5,0.5,selected
1,娛樂場所_p02,娛樂場所,娛樂場所_ape_1_ac1152aa,category_resampled,以日常生活活動為中心，描述人們在那裡做什麼。,0.0,0.0,0.0,1.0,selected
1,學校_p01,學校,學校_ape_1_0cbec27c,category_resampled,為失語症患者生成一個具體、生活化且容易聯想到答案的語意提示句，請勿直接說出目標詞。,0.0,0.0,0.0,1.0,selected
1,學校_p01,學校,學校_ape_1_95edce66,category_resampled,為失語症患者生成一句具體、生活化且容易聯想到答案的語意提示句，請勿直接說出目標詞。,0.0,0.0,0.0,1.0,selected
1,家具_p02,家具,家具_ape_1_cdf6dffd,category_resampled,提供一個具體的目標詞彙，要求失語症患者在現實生活中找到相應的對應物。,0.3903872296214103,0.34341032803058624,0.5,0.5,selected
1,家具_p02,家具,家具_ape_1_24f19e4e,category_resampled,描述一個特定目標詞彙的使用情境，讓失語症患者能夠更容易記憶和應用。,0.22024129778146745,0.2074875682592392,0.25,0.75,selected
1,廚房用品_p02,廚房用品,廚房用品_ape_1_6ac8e056,category_resampled,描述一個水果的細節，例如它的顏色、形狀和口感。,0.12575429903738425,0.049778868754704796,0.30303030303030304,0.6666666666666666,selected
1,文具_p02,文具,文具_ape_1_b2080979,category_resampled,生成一個簡單明了的失語症治療提示句，讓患者容易記住和應用。,0.6999055981636046,0.5712937116622925,1.0,0.0,selected
1,文具_p02,文具,文具_ape_1_75b3205f,category_resampled,生成一個生活化的、具體的失語症治療提示句，讓患者能夠快速理解。,0.0,0.0,0.0,1.0,selected
1,水果_p01,水果,水果_ape_1_ba664d45,category_resampled,每句提示句須精準指向該水果的專屬特徵。,0.6112147157390911,0.4445924510558446,1.0,0.0,selected
1,水果_p01,水果,水果_ape_1_f37faa26,category_resampled,避免抽象或模糊描述。,0.5494437446196874,0.3563482065995534,1.0,0.0,selected
1,水果_p01,水果,水果_ape_1_b50c0190,category_resampled,你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標水果詞彙，並根據以下嚴格原則，生成語境明確、具啟發性、方便高齡者聯想的提示句，幫助患者成功說出目標詞彙。,0.4585391936513285,0.29791313378761214,0.8333333333333334,0.16666666666666666,discarded
1,水果_p01,水果,水果_ape_1_5cc46fca,category_resampled,提示句必須具體、貼近生活，符合高齡者熟悉的經驗與文化脈絡。,0.42208764969060814,0.24583949955801168,0.8333333333333334,0.16666666666666666,discarded
1,調味_p01,調味,調味_ape_1_f96cf70b,category_resampled,根據目標詞彙的音節特徵，生成一句簡短、具體、生活化且容易聯想到答案的提示句。,0.2529897883534431,0.14712826907634735,0.5,0.5,selected
1,調味_p01,調味,調味_ape_1_cd86a269,category_resampled,根據目標詞彙的重複率和音節結構，生成一句簡短、具體、生活化且容易聯想到答案的提示句。,0.23824647068977356,0.1260663866996765,0.5,0.5,selected
1,輔具_p02,輔具,輔具_ape_1_4f6599a0,category_resampled,如何創建一個包含目標詞彙的簡單而具體的失語症治療提示？,0.08133831322193145,0.04476901888847351,0.16666666666666666,0.8333333333333334,selected
1,運動場所_p01,運動場所,運動場所_ape_1_84b3993d,category_resampled,為失語症患者生成一個具體、容易聯想到答案的語意提示句,0.30070757567882533,0.21529653668403625,0.5,0.5,selected
1,運動場所_p01,運動場所,運動場所_ape_1_477115b0,category_resampled,為失語症患者生成簡短、具體、容易聯想到答案的語意提示句,0.18264085575938224,0.04662979394197464,0.5,0.5,selected
1,醫療場所_p01,醫療場所,醫療場所_ape_1_32fb0e73,category_resampled,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,0.19359945990145205,0.06228494271636009,0.5,0.5,selected
1,金融機構_p02,金融機構,金融機構_ape_1_28df5e18,category_resampled,為失語症患者生成簡短、具體、容易聯想到答案的語意提示句。,0.41255582354285497,0.19975507259368896,0.9090909090909091,0.0,selected
